Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
01,2024,03,12,12,04,54,0.187,-0.035,NaN,44.812,44.789,NaN,184.503,1122.258,16407.76,4.429
01,2024,03,12,12,04,55,0.11,-0.003,NaN,44.213,43.806,NaN,188.712,1298.34,16398.32,4.429
01,2024,03,12,12,04,55,0.175,-0.139,NaN,46.054,43.404,NaN,232.755,1179.6,16410.58,4.429
01,2024,03,12,12,04,56,0.225,-0.102,NaN,44.834,46.734,NaN,259.994,1110.932,16383.09,4.429
01,2024,03,12,12,04,56,-0.082,-0.094,NaN,45.588,46.622,NaN,233.706,1059.552,16414.23,4.429
01,2024,03,12,12,04,57,0.25,-0.037,NaN,44.124,44.745,NaN,267.699,1113.874,16405.63,4.429
01,2024,03,12,12,04,57,0.189,-0.205,NaN,46.675,45.505,NaN,267.574,1115.381,16415.24,4.429
01,2024,03,12,12,04,58,0.19,-0.137,NaN,45.987,43.448,NaN,291.245,1075.171,16424.78,4.429
01,2024,03,12,12,04,58,0.187,-0.139,NaN,42.837,43.381,NaN,353.071,1137.775,16373.43,4.429
01,2024,03,12,12,04,59,0.178,-0.089,NaN,44.767,43.694,NaN,349.86,942.13,16419.5,4.429
01,2024,03,12,12,04,59,0.584,-0.083,NaN,46.609,43.739,NaN,489.128,1008.46,16439.67,4.429
01,2024,03,12,12,05,00,0.162,-0.04,NaN,43.769,43.359,NaN,444.281,979.948,16432.38,4.429
01,2024,03,12,12,05,00,0.181,-0.066,NaN,46.098,45.371,NaN,472.214,472.626,16427.85,4.421
01,2024,03,12,12,05,01,0.171,-0.057,NaN,46.276,42.376,NaN,418.642,664.809,16436.97,4.397
01,2024,03,12,12,05,01,0.234,-0.156,NaN,45.477,46.712,NaN,302.264,767.724,16442.76,4.397
01,2024,03,12,12,05,02,0.21,-0.138,NaN,48.184,45.929,NaN,407.906,566.797,16483.88,4.397
01,2024,03,12,12,05,02,0.225,-0.174,NaN,45.677,44.342,NaN,512.699,272.797,16552.88,4.397
01,2024,03,12,12,05,03,0.199,-0.065,NaN,45.233,44.208,NaN,465.629,407.155,16417.52,4.389
01,2024,03,12,12,05,03,0.102,-0.04,NaN,45.278,44.767,NaN,970.315,147.786,16509.99,4.389
01,2024,03,12,12,05,04,0.075,-0.037,NaN,45.899,43.158,NaN,666.069,251.819,16330.77,4.389
01,2024,03,12,12,05,04,0.128,-0.099,NaN,47.74,45.728,NaN,669.005,433.385,16415.78,4.389
01,2024,03,12,12,05,05,0.142,-0.038,NaN,45.499,44.365,NaN,365.26,936.847,16461.27,4.389
01,2024,03,12,12,05,05,0.093,-0.05,NaN,45.632,41.035,NaN,172.673,220.339,16358.85,4.389
01,2024,03,12,12,05,06,0.035,-0.036,NaN,43.769,41.839,NaN,32.397,277.67,16456.68,4.389
01,2024,03,12,12,05,06,0.115,-0.037,NaN,47.496,43.985,NaN,73.374,429.631,16441.12,4.389
