Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
01,2024,03,07,10,59,47,0.365,0.003,NaN,50.225,50.422,NaN,-79.076,9.592,16436.54,5.939
01,2024,03,07,10,59,48,0.339,0.004,NaN,51.312,48.567,NaN,-81.408,-145.576,16433.4,5.939
01,2024,03,07,10,59,48,0.725,-0.108,NaN,51.245,51.159,NaN,-34.858,-145.699,16422.85,5.939
01,2024,03,07,10,59,49,0.397,-0.113,NaN,51.467,51.584,NaN,-29.8,-56.252,16436.58,5.939
01,2024,03,07,10,59,49,0.349,-0.119,NaN,50.557,50.6,NaN,-50.92,-136.097,16430.72,5.939
01,2024,03,07,10,59,50,0.448,-0.164,NaN,51.844,52.478,NaN,-58.708,-88.075,16432.67,5.939
01,2024,03,07,10,59,50,0.385,-0.075,NaN,50.979,51.584,NaN,-49.363,-131.352,16435.59,5.939
01,2024,03,07,10,59,51,0.116,-0.097,NaN,52.532,51.003,NaN,53.593,-101.17,16406.9,5.939
01,2024,03,07,10,59,51,-0.017,0.006,NaN,49.892,51.606,NaN,11.963,-3.725,16444.07,5.939
01,2024,03,07,10,59,52,0.198,-0.044,NaN,49.67,50.466,NaN,13.059,-161.937,16423.35,5.939
01,2024,03,07,10,59,52,0.283,-0.119,NaN,53.441,51.897,NaN,-66.404,-318.554,16443.14,5.939
01,2024,03,07,10,59,53,0.478,-0.102,NaN,53.33,51.114,NaN,-103.286,-367.859,16430.95,5.939
01,2024,03,07,10,59,53,0.507,-0.133,NaN,51.999,51.986,NaN,-124.909,-249.214,16417.4,5.939
01,2024,03,07,10,59,54,0.408,-0.089,NaN,51.999,50.355,NaN,-188.809,-229.696,16416.7,5.939
01,2024,03,07,10,59,54,0.302,-0.057,NaN,51.378,51.204,NaN,-161.341,-146.73,16427.49,5.939
01,2024,03,07,10,59,55,0.318,-0.085,NaN,51.955,50.399,NaN,-85.926,-110.276,16425.68,5.939
01,2024,03,07,10,59,55,0.295,-0.046,NaN,50.757,50.757,NaN,-30.007,-144.092,16419.73,5.939
01,2024,03,07,10,59,56,0.396,-0.109,NaN,51.733,50.735,NaN,27.587,-117.274,16430.38,5.939
01,2024,03,07,10,59,56,0.316,-0.001,NaN,50.824,50.757,NaN,-24.942,-84.935,16421.97,5.939
01,2024,03,07,10,59,57,0.325,-0.124,NaN,50.225,51.763,NaN,1.025,-22.62,16418.13,5.939
01,2024,03,07,10,59,57,0.416,-0.025,NaN,51.733,50.869,NaN,-43.209,-136.338,16451.62,5.939
01,2024,03,07,10,59,58,0.333,-0.021,NaN,51.8,50.913,NaN,43.361,-158.967,16431.8,5.939
01,2024,03,07,10,59,58,0.271,-0.046,NaN,49.892,49.304,NaN,36.045,-50.025,16421.55,5.939
01,2024,03,07,10,59,59,0.452,-0.192,NaN,51.09,51.673,NaN,8.914,-22.737,16426.24,5.939
01,2024,03,07,10,59,59,0.371,-0.173,NaN,51.866,49.438,NaN,-37.78,-97.655,16420.07,5.939
01,2024,03,07,11,00,00,0.436,-0.15,NaN,50.957,50.98,NaN,-5.869,-56.418,16441.71,5.939
01,2024,03,07,11,00,00,0.368,-0.132,NaN,51.201,49.684,NaN,49.233,-24.304,16402.78,5.939
02,2024,03,07,11,00,27,0.593,-0.175,NaN,50.735,49.952,NaN,325.204,53.218,16428.68,5.9
02,2024,03,07,11,00,27,0.385,0.026,NaN,53.441,49.416,NaN,577.459,-284.579,16412.36,5.9
02,2024,03,07,11,00,28,-0.068,-0.069,NaN,51.312,49.684,NaN,401.411,-549.556,16434.56,5.9
02,2024,03,07,11,00,28,0.419,0.024,NaN,51.178,50.802,NaN,221.78,-343.757,16422.87,5.9
02,2024,03,07,11,00,29,0.375,0.128,NaN,51.733,50.22,NaN,112.947,-289.035,16444.3,5.9
02,2024,03,07,11,00,29,0.399,0.035,NaN,53.02,51.986,NaN,166.14,-284.235,16417.88,5.9
02,2024,03,07,11,00,30,0.134,0.15,NaN,52.998,52.5,NaN,205.048,-449.426,16437.62,5.9
02,2024,03,07,11,00,30,0.397,-0.003,NaN,53.397,51.696,NaN,271.382,-374.295,16412.06,5.9
02,2024,03,07,11,00,31,0.599,-0.01,NaN,51.977,51.472,NaN,230.718,-425.587,16441.4,5.9
02,2024,03,07,11,00,31,0.497,-0.048,NaN,53.885,51.941,NaN,281.898,-451.363,16433.86,5.9
02,2024,03,07,11,00,32,0.534,-0.066,NaN,52.465,49.595,NaN,323.386,-442.08,16445.73,5.9
02,2024,03,07,11,00,32,0.426,0.007,NaN,53.907,52.59,NaN,387.852,-408.584,16424.54,5.9
02,2024,03,07,11,00,33,0.318,-0.164,NaN,51.09,50.422,NaN,410.04,-392.899,16445.8,5.9
02,2024,03,07,11,00,33,0.483,-0.017,NaN,52.487,50.533,NaN,449.521,-264.772,16413.98,5.9
02,2024,03,07,11,00,34,0.369,-0.02,NaN,51.933,50.846,NaN,505.183,-238.179,16448.61,5.9
02,2024,03,07,11,00,34,0.384,-0.144,NaN,53.752,51.986,NaN,468.399,-281.038,16431.69,5.9
02,2024,03,07,11,00,35,0.555,-0.132,NaN,52.199,50.98,NaN,462.082,-272.975,16428.48,5.9
02,2024,03,07,11,00,35,0.65,-0.167,NaN,52.82,50.667,NaN,508.627,-206.135,16442.57,5.9
02,2024,03,07,11,00,36,0.394,-0.113,NaN,51.955,51.07,NaN,561.218,-252.78,16441.24,5.9
02,2024,03,07,11,00,36,0.427,-0.05,NaN,53.308,49.639,NaN,540.049,-54.094,16423.68,5.9
02,2024,03,07,11,00,37,0.474,-0.059,NaN,51.511,51.696,NaN,476.421,-158.288,16474.6,5.9
02,2024,03,07,11,00,37,0.331,0.022,NaN,51.356,50.422,NaN,512.241,-170.782,16425.36,5.9
02,2024,03,07,11,00,38,0.365,-0.057,NaN,51.578,51.986,NaN,523.853,-81.259,16427.99,5.9
02,2024,03,07,11,00,38,0.307,0.032,NaN,51.644,50.556,NaN,560.432,-121.456,16429.71,5.9
02,2024,03,07,11,00,39,0.378,0.056,NaN,52.998,51.874,NaN,529.894,-127.781,16437.22,5.9
02,2024,03,07,11,00,39,0.583,-0.155,NaN,52.687,51.07,NaN,386.046,-80.727,16442.09,5.9
02,2024,03,07,11,00,40,0.655,-0.128,NaN,53.486,51.182,NaN,454.932,-34.767,16453.09,5.9
02,2024,03,07,11,00,40,0.533,0.006,NaN,52.532,51.025,NaN,517.311,-60.599,16445.7,5.9
02,2024,03,07,11,00,41,0.425,0.019,NaN,53.463,52.88,NaN,610.239,-41.832,16443.97,5.9
02,2024,03,07,11,00,41,0.336,-0.03,NaN,53.242,49.371,NaN,653.457,-37.248,16444.61,5.9
02,2024,03,07,11,00,42,0.477,-0.014,NaN,52.443,50.6,NaN,579.802,-54.464,16441.82,5.9
02,2024,03,07,11,00,42,0.392,-0.083,NaN,52.909,49.796,NaN,602.058,-88.159,16440.21,5.9
02,2024,03,07,11,00,43,0.419,-0.07,NaN,50.801,49.908,NaN,547.716,-59.151,16446.14,5.9
02,2024,03,07,11,00,43,0.461,-0.037,NaN,51.156,50.779,NaN,584.133,-160.051,16437.66,5.9
02,2024,03,07,11,00,44,0.075,-0.043,NaN,52.532,50.779,NaN,548.126,-70.025,16412.43,5.9
02,2024,03,07,11,00,44,0.315,-0.049,NaN,52.709,51.494,NaN,628.661,-224.24,16434.45,5.9
02,2024,03,07,11,00,45,0.315,-0.001,NaN,52.975,52.053,NaN,564.126,-33.431,16425.81,5.9
02,2024,03,07,11,00,45,0.226,-0.009,NaN,51.511,50.399,NaN,503.665,-234.925,16443.82,5.9
02,2024,03,07,11,00,46,0.128,-0.011,NaN,53.109,51.785,NaN,482.807,-269.941,16435.2,5.9
02,2024,03,07,11,00,46,0.386,0.043,NaN,51.644,50.623,NaN,410.33,-324.134,16449.67,5.9
02,2024,03,07,11,00,47,0.358,0.065,NaN,51.289,51.316,NaN,416.463,-383.347,16447.58,5.9
02,2024,03,07,11,00,47,0.653,-0.078,NaN,53.552,51.651,NaN,483.872,-375.559,16435.79,5.9
02,2024,03,07,11,00,48,0.633,-0.157,NaN,53.996,50.578,NaN,474.315,-412.153,16419.3,5.9
02,2024,03,07,11,00,48,0.548,-0.035,NaN,52.975,50.265,NaN,477.43,-397.879,16430.68,5.9
02,2024,03,07,11,00,49,0.3,0.054,NaN,51.112,50.176,NaN,506.329,-372.44,16432.93,5.9
02,2024,03,07,11,00,49,0.312,0.085,NaN,51.933,49.617,NaN,499.883,-354.902,16442.61,5.9
02,2024,03,07,11,00,50,0.198,0.006,NaN,52.021,50.22,NaN,523.89,-316.748,16456.11,5.9
02,2024,03,07,11,00,50,0.258,0.069,NaN,52.199,49.505,NaN,451.763,-326.05,16461.43,5.9
02,2024,03,07,11,00,51,0.293,-0.048,NaN,51.777,53.439,NaN,450.919,-279.272,16423.46,5.9
02,2024,03,07,11,00,51,0.474,-0.065,NaN,51.356,51.316,NaN,415.022,-368.877,16441.3,5.9
02,2024,03,07,11,00,52,0.384,0.014,NaN,52.532,50.131,NaN,477.984,-306.607,16423.57,5.9
02,2024,03,07,11,00,52,0.844,0.049,NaN,52.399,50.645,NaN,514.834,-295.591,16424.19,5.9
